,,
,,
Protocol Number,Min of Date of final patient approval,Min of Treatment start date
ML42037,7-Jul-2025,30-Dec-1899
ML42071,7-Jul-2025,30-Dec-1899
ML42224,19-Jan-2024,1-Feb-2024
ML42439,10-Aug-2023,4-Dec-2023
ML42904,16-Jun-2025,19-Jun-2025
ML42906,17-Jun-2025,27-Jun-2025
ML44030,27-Sep-2023,29-Sep-2023
MN39158,22-Jun-2020,8-Oct-2020
MN39159,28-Feb-2022,8-Mar-2022
MN42928,29-Jun-2023,4-Oct-2023
MO16419,17-Sep-2020,26-Jun-2020
MO22201,23-May-2019,30-Dec-1899
MO25455,25-Mar-2019,30-Dec-1899
MO25515,9-May-2019,15-Jun-2015
MO25616,21-Mar-2019,15-May-2019
MO25757,18-Apr-2019,15-May-2019
MO27775,6-Aug-2019,18-Oct-2019
MO27911,6-Feb-2020,27-Jun-2019
MO28047,5-Jun-2019,15-Aug-2019
MO28231,22-Jul-2019,22-Jul-2020
MO29112,18-Apr-2019,10-Sep-2019
MO29518,18-Nov-2019,20-Jan-2020
MO29594,25-Mar-2019,31-Jul-2019
MO29750,21-Mar-2019,12-Jul-2019
MO29777,19-Oct-2021,30-Nov-2021
MO29872,21-Apr-2022,5-May-2022
MO29983,11-Jan-2022,22-Feb-2022
MO39082,16-Dec-2021,11-Jan-2022
MO39129,21-Oct-2019,17-Oct-2019
MO39136,25-Oct-2022,16-Nov-2022
MO39171,15-Apr-2021,29-Jun-2021
MO39193,22-Jan-2024,1-Feb-2024
MO39196,8-Dec-2020,18-Feb-2021
MO39872,3-Oct-2024,10-Dec-2024
MO39874,2-Oct-2024,11-Dec-2024
MO40094,2-Aug-2024,30-Dec-1899
MO40122,16-Dec-2020,5-Jan-2021
MO40299,24-Jun-2025,17-Jul-2025
MO40388,31-Jul-2024,17-Sep-2024
MO41084,27-Mar-2025,4-Apr-2025
MO41085,5-Oct-2023,14-Nov-2023
MO41205,17-Nov-2023,13-Dec-2023
MO42263,24-Mar-2020,27-Apr-2020
MO42319,4-Aug-2023,30-Aug-2023
MO43576,24-Apr-2024,21-Jun-2024
MR41926,7-Apr-2021,21-Jan-2022
MR43808,2-Sep-2025,9-Sep-2025
MX39795,14-Mar-2024,23-May-2024
N/A,30-Apr-2019,22-May-2019
NA25220,9-May-2019,31-May-2019
Not Applicable,9-May-2019,15-Jul-2019
NP28022,13-Jun-2019,7-Oct-2019
NP28761,15-May-2019,3-Jul-2019
NP39051,18-Apr-2019,6-Aug-2019
PIPF,18-Apr-2019,25-Nov-2019
PIPF-016 (ASCEND),9-May-2019,30-Dec-1899
PIPF012,25-Mar-2019,30-Dec-1899
SOLTI1507,30-Dec-1899,30-Dec-1899
WA18221,28-Jun-2019,11-Jul-2019
WA18695,18-Jun-2019,3-Oct-2019
WA18696,18-Jun-2019,9-Oct-2019
WA19926,9-May-2019,30-Jun-2019
WA19977,13-Aug-2012,3-Apr-2019
WA21092,4-Apr-2024,14-Oct-2024
WA21093,23-May-2023,22-Jun-2023
WA21493,3-Jan-2023,14-Mar-2023
WA22762,9-May-2019,31-May-2019
WA25046,19-Jul-2023,15-Mar-2024
WA25204,4-Jun-2019,16-Sep-2019
WA25615,18-Apr-2019,31-May-2019
WA28029,25-Mar-2019,24-Jun-2019
WA28119,21-Mar-2019,29-Jul-2019
WA29231,19-Sep-2019,17-Sep-2019
WA29330,18-Apr-2019,18-Jan-2020
WA29748,18-Apr-2019,30-Jul-2019
WA29767,21-Mar-2019,4-Jun-2019
WA40404,25-Jul-2025,21-Aug-2025
WN42349,1-Dec-2023,5-Mar-2024
WO16437,21-Jun-2019,22-May-2019
WO20698,21-Mar-2019,10-Jun-2019
WO29519,13-Jun-2019,26-Jun-2019
WO29522,12-May-2020,25-May-2020
WO29637,25-Jun-2020,15-Jul-2020
WO30070,16-Dec-2022,26-Jan-2023
WO39760,5-Mar-2020,19-May-2020
