study,FSSE_P,LSSE_P,LSLV_P,missing_FSSE,missing_LSSE,missing_LSLV,missing_any_milestone,approval,missing_approval,included,reason
GR42691,2021-04-13,2022-07-15,2024-09-03,False,False,False,False,,True,False,approval missing
GR43742,2022-10-10,2022-11-11,2022-11-18,False,False,False,False,,True,False,approval missing
GR44277,2022-12-31,2024-10-31,2025-07-09,False,False,False,False,,True,False,approval missing
MA30143,2017-03-24,2019-08-22,2024-08-15,False,False,False,False,,True,False,approval missing
ML29755,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML29869,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML29986,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40237,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40600,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40896,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML40908,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML41025,,,,True,True,True,True,2025-05-12,False,False,"FSSE missing, LSSE missing, LSLV missing"
ML41086,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML41241,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML41813,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42037,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42071,2020-07-30,2023-06-08,2025-12-29,False,False,False,False,,True,False,approval missing
ML42096,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42224,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42249,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42439,2021-01-14,2022-12-29,2023-12-28,False,False,False,False,,True,False,approval missing
ML42904,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML42906,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
ML44030,2023-04-28,2024-03-29,2024-08-26,False,False,False,False,,True,False,approval missing
ML44739,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MN39158,2018-07-12,2023-04-23,2025-09-23,False,False,False,False,,True,False,approval missing
MN39159,2018-05-28,2026-05-15,2026-09-29,False,False,False,False,,True,False,approval missing
MN42928,2022-07-22,2024-11-29,2023-10-18,False,False,False,False,,True,False,approval missing
MN43964,2022-03-15,2023-09-12,2029-12-31,False,False,False,False,,True,False,approval missing
MO29590,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO29777,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO29821,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO29872,2017-09-11,2019-09-23,2023-10-16,False,False,False,False,,True,False,approval missing
MO29983,2016-12-01,2018-04-26,2022-03-16,False,False,False,False,,True,False,approval missing
MO39082,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO39136,2018-12-13,2020-12-07,2023-04-14,False,False,False,False,,True,False,approval missing
MO39171,2017-10-25,2018-12-26,2022-03-31,False,False,False,False,,True,False,approval missing
MO39193,2018-01-11,2023-08-04,2024-10-25,False,False,False,False,,True,False,approval missing
MO39196,2017-08-25,2019-09-17,2023-02-15,False,False,False,False,,True,False,approval missing
MO39871,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO39872,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO39874,2019-12-17,2021-12-15,2024-12-15,False,False,False,False,,True,False,approval missing
MO40094,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO40118,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO40122,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO40299,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO40388,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO41084,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO41085,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO41205,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO42116,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO42319,2021-06-07,2026-03-07,2024-07-31,False,False,False,False,,True,False,approval missing
MO42623,2022-07-31,2023-12-20,2027-05-21,False,False,False,False,,True,False,approval missing
MO43308,,,,True,True,True,True,,True,False,"FSSE missing, LSSE missing, LSLV missing, approval missing"
MO43576,2022-05-31,2023-06-09,2024-10-25,False,False,False,False,,True,False,approval missing
MR41926,2020-12-01,2022-07-06,2022-12-20,False,False,False,False,,True,False,approval missing
MR43808,2023-03-02,2024-05-28,2026-01-15,False,False,False,False,,True,False,approval missing
MX39795,2018-07-16,2022-11-30,2024-11-07,False,False,False,False,,True,False,approval missing
WA29748,2014-07-28,2014-07-28,2023-10-01,False,False,False,False,,True,False,approval missing
WA40404,2019-08-12,2024-12-13,2028-01-19,False,False,False,False,,True,False,approval missing
WA43380,2023-02-28,2024-09-05,2026-09-15,False,False,False,False,,True,False,approval missing
WN42349,2021-01-31,2022-01-31,2024-05-25,False,False,False,False,,True,False,approval missing
WO41554,2020-01-29,2023-08-31,2027-11-15,False,False,False,False,,True,False,approval missing
WO41994,2020-07-28,2022-01-08,2025-03-24,False,False,False,False,,True,False,approval missing
WO42017,2020-06-30,2021-03-09,2024-12-31,False,False,False,False,,True,False,approval missing
WO42178,2026-05-30,,2028-05-30,False,True,False,True,,True,False,"LSSE missing, approval missing"
WO42758,2021-10-29,2026-11-08,2028-11-07,False,False,False,False,,True,False,approval missing
WP43295,2021-12-15,2024-10-22,2027-12-20,False,False,False,False,,True,False,approval missing
WP44131,2024-01-31,2025-03-31,2025-10-01,False,False,False,False,2024-05-03,False,True,included
YO29449,2016-08-03,2017-05-16,2025-12-31,False,False,False,False,,True,False,approval missing
YO39309,2018-04-26,2021-05-25,2025-08-31,False,False,False,False,,True,False,approval missing
YO39609,2017-11-15,2023-04-28,2025-11-30,False,False,False,False,,True,False,approval missing
YO40245,2018-03-16,2019-03-28,2022-11-30,False,False,False,False,,True,False,approval missing
YO42138,2020-10-15,2022-03-31,2026-01-31,False,False,False,False,,True,False,approval missing
